
Setup: imagesize =128 cellsize = 32 type = SVM nu = 0.015000

Computation time in seconds: 	1202


==========================================
RESULTS
	as 0	as 1	as 2	as 3	as 4	as 5	as 6	as 7	as 8	as 9	as 10	as 11	as 12	as 13	as 14	as 15	as 16	as 17	as 18	as 19	as 20	as 21	as 22	as 23	as 24	as 25	as 26	as 27	as 28	as 29	as 30	as 31	as 32	as 33	as 34	as 35	as 36	as 37	as 38	as 39	as 40	as 41	as 42	as 43	as 44	as 45	as 46	as 47	as 48	as 49	as 50	as 51	as 52	as 53	as 54	as 55	as 56	as 57	as 58	as 59	as 60	as 61	as 62	as 63	as 64	as 65	as 66	as 67	as 68	as 69	as 70	as 71	as 72	as 73	as 74	as 75	as 76	as 77	as 78	as 79	as 80	as 81	as 82	as 83	as 84	as 85	as 86	as 87	as 88	as 89	as 90	as 91	as 92	as 93	as 94	as 95	as 96	as 97	as 98	as 99	as 100	as 101	error
class 22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0.0444444	0	0	0.2	0	0	0	0	0	0	0	0.0222222	0	0	0	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0	0	0	0	0.0666667	0.0222222	0	0	0	0	0	0.0222222	0	0	0	0	0	0	0	0	0.0222222	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8
class 23	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0.0222222	0	0	0	0.0222222	0	0	0.177778	0	0	0	0.0222222	0	0.0666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0	0	0	0	0.0222222	0	0	0	0.0222222	0	0	0	0	0	0	0.0222222	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0	0	0	0	0	0.822222
class 24	0	0	0	0	0	0	0	0	0	0	0.027027	0	0	0.027027	0	0	0	0	0	0.027027	0	0	0	0	0.27027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027027	0	0	0	0	0.027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027027	0	0	0	0.72973
class 25	0	0	0	0.0238095	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0.309524	0	0	0	0.047619	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0238095	0.0238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.690476
class 26	0.025	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0.025	0	0.025	0	0	0	0.025	0	0	0	0.025	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.725
class 27	0.0222222	0	0	0	0	0	0	0	0.0222222	0	0.0222222	0	0	0	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0	0.133333	0	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0	0	0	0	0	0	0	0	0	0	0.0666667	0	0	0	0	0	0	0	0	0.0444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222	0	0	0	0.866667
class 28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0.232558	0.0465116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0.0232558	0.0232558	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0.0465116	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0.767442
class 29	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0.05	0	0	0	0.1	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0.9
class 30	0	0	0	0.0263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0526316	0.236842	0	0	0	0	0	0	0	0	0.0263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0263158	0	0	0	0	0.0263158	0	0	0	0.763158
class 31	0.0681818	0	0	0	0	0	0	0	0.0227273	0.0227273	0	0	0	0	0	0	0.0227273	0	0	0	0	0	0	0	0	0	0	0.0227273	0	0.0227273	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0227273	0	0	0	0	0	0	0.75
